Date,ARM,CHAT,MSFT,NVDA
2024-01-04,71.56699981689454,30.357999801635742,371.4590698242188,485.5352294921875
2024-01-05,69.48300018310547,30.105999755859376,369.9558532714844,484.6852661132813
2024-01-08,69.02200012207031,30.06999969482422,369.6863525390625,490.1470092773437
2024-01-09,69.61399993896484,30.191999435424805,370.6685424804688,500.0905517578125
2024-01-10,70.18599853515624,30.445999526977538,373.098046875,513.6519104003906
2024-01-11,70.46199798583984,30.73599967956543,376.4298889160156,527.299267578125
2024-01-12,71.05199737548828,30.99599952697754,380.5662414550781,538.5247436523438
2024-01-16,70.17999877929688,31.043999862670898,383.6764892578125,546.7823608398437
2024-01-17,69.7759994506836,31.00999984741211,386.4074340820313,552.6080810546875
2024-01-18,70.46800079345704,30.99199981689453,388.62333984375,558.121826171875
2024-01-19,72.2300018310547,31.129999923706055,391.42615966796876,567.4593872070312
2024-01-22,73.652001953125,31.279999923706054,393.03118896484375,577.346923828125
2024-01-23,75.2260009765625,31.5560001373291,394.75400390625,584.3285888671875
2024-01-24,76.4020004272461,31.980000305175782,397.36716918945314,594.9460815429687
2024-01-25,76.33800048828125,32.36000022888184,399.5631103515625,603.9656494140625
2024-01-26,74.85599975585937,32.500000381469725,400.6131652832031,607.0455078125
2024-01-29,74.01999969482422,32.72400054931641,403.2502868652344,612.6672485351562
2024-01-30,73.14400024414063,32.80800018310547,405.18471069335936,618.4689819335938
2024-01-31,72.13000030517578,32.628000259399414,404.1905517578125,618.798974609375
2024-02-01,71.45199890136719,32.535800552368165,403.97295532226565,621.6188598632813
2024-02-02,71.41799926757812,32.6878002166748,405.4282653808594,631.8763793945312
2024-02-05,71.48599853515626,32.785800552368165,404.615771484375,645.6097290039063
2024-02-06,71.68799896240235,32.96380043029785,403.9969116210938,656.5072143554687
2024-02-07,72.95599975585938,33.36980056762695,407.2848266601562,673.6504028320312
2024-02-08,81.63000030517578,33.68600006103516,409.3470092773438,686.8777709960938
2024-02-09,90.47200012207031,33.94000015258789,411.2095581054688,698.8232177734375
2024-02-12,105.61200103759765,34.183999633789064,413.1280090332031,704.6549438476562
2024-02-13,115.01200103759766,34.26800003051758,413.2937072753906,712.4645874023438
2024-02-14,124.89000091552734,34.47999954223633,412.53456420898436,720.0662353515625
2024-02-15,128.8479995727539,34.70800018310547,411.17744140625,726.0999633789063
2024-02-16,131.4739990234375,34.630000305175784,408.0346984863281,727.059912109375
2024-02-20,126.03399810791015,34.45800018310547,405.6940002441406,721.4681762695312
2024-02-21,126.71599731445312,34.35,405.0159973144531,712.156591796875
2024-02-22,127.14199676513672,34.39800033569336,405.447998046875,721.4321533203125
2024-02-23,127.0739974975586,34.35800018310547,406.20399780273436,733.749560546875
2024-02-26,130.6459976196289,34.53199996948242,406.9,746.7069458007812
2024-02-27,133.88199768066406,34.816000366210936,407.83800048828124,765.2040771484375
2024-02-28,135.9759979248047,35.072000122070314,408.9460021972656,785.5851318359375
2024-02-29,138.47799682617188,35.10599975585937,409.34400634765626,786.7330810546875
2024-03-01,140.13399658203124,35.349999237060544,410.3760070800781,793.6567626953125
2024-03-04,138.49599609375,35.587998962402345,411.8520080566406,805.94619140625
2024-03-05,137.71999816894532,35.66599884033203,410.88600463867186,820.4795776367188
2024-03-06,138.34599914550782,35.94399871826172,409.7600036621094,842.5608642578125
2024-03-07,138.30800170898436,36.235999298095706,408.86000366210936,869.6822875976562
2024-03-08,136.28000183105468,36.17199935913086,407.00400390625,880.1880126953125
2024-03-11,134.0260025024414,35.99599990844727,404.9239990234375,881.2700073242188
2024-03-12,133.11200103759765,36.1379997253418,407.45,893.1680053710937
2024-03-13,131.96800079345704,36.11800003051758,410.052001953125,897.5440063476562
2024-03-14,129.99000091552733,35.875999450683594,413.26799926757815,888.0940063476562
2024-03-15,129.08800201416017,35.69199981689453,415.30800170898436,888.7119995117188
2024-03-18,129.69000244140625,35.67399978637695,417.8680053710938,894.0739990234375
2024-03-19,128.70800170898437,35.4379997253418,419.09400634765626,889.043994140625
2024-03-20,128.72000122070312,35.34599990844727,421.12000732421876,888.0119873046875
2024-03-21,129.2480010986328,35.39400024414063,421.95000610351565,894.9939819335938
2024-03-22,130.68399963378906,35.58600006103516,424.41400146484375,907.8979858398437
2024-03-25,132.3959991455078,35.67600021362305,425.5219970703125,920.9919921875
2024-03-26,133.06999969482422,35.768000793457034,425.5699951171875,927.3179931640625
2024-03-27,131.9279998779297,35.75800094604492,424.80999145507815,927.0739990234375
2024-03-28,130.63597869873047,35.72812118530273,423.1659912109375,925.6740234375
